StudentID,StudyHours,Attendance,PrevMarks,Marks,Branch,Result
S1163,4.18,88.02,69.36,71.97,CSD,Fail
S1164,5.65,58.78,65.75,64.71,AIML,Fail
S1165,4.65,92.87,83.83,73.46,CSE,Pass
S1166,5.75,82.4,100.0,85.12,CSD,Pass
S1167,6.96,72.6,58.04,84.29,ISE,Pass
S1168,8.99,86.23,58.66,94.4,ISE,Pass
S1169,2.78,100.0,81.66,64.79,AIML,Fail
S1170,10.19,80.36,76.23,92.12,CSD,Pass
S1171,1.21,81.23,93.7,68.14,CSE,Fail
S1172,5.17,72.03,74.76,68.42,ISE,Fail
S1173,6.79,66.95,60.61,74.48,CSD,Pass
S1174,6.12,88.79,74.86,84.78,CSD,Pass
S1175,4.13,66.87,82.63,64.41,AIML,Fail
S1176,5.04,78.93,78.31,76.02,ISE,Pass
S1177,4.42,71.79,73.61,63.19,ISE,Fail
S1178,4.2,84.23,82.0,71.26,CSE,Fail
S1179,7.37,82.34,83.54,88.99,ISE,Pass
S1180,6.29,91.49,86.73,78.15,CSE,Pass
S1181,3.98,71.37,75.73,70.56,ISE,Fail
S1182,7.48,74.49,63.49,81.14,AIML,Pass
S1183,6.18,65.28,68.2,77.0,ISE,Pass
S1184,7.29,72.22,84.1,85.46,CSE,Pass
S1185,6.89,82.9,53.75,85.8,CSE,Pass
S1186,3.68,87.84,71.53,71.41,AIML,Fail
S1187,4.27,66.01,60.1,62.49,ISE,Fail
S1188,7.14,89.3,66.43,85.22,ISE,Pass
S1189,6.84,95.62,85.18,91.96,AIML,Pass
S1190,5.45,83.37,68.87,76.63,ISE,Pass
S1191,5.76,100.0,66.7,82.07,ISE,Pass
S1192,8.31,67.94,45.6,75.45,CSE,Pass
S1193,4.2,61.82,77.19,63.62,ISE,Fail
S1194,6.7,54.88,75.68,68.14,ISE,Fail
S1195,5.06,97.45,98.45,93.94,AIML,Pass
S1196,5.02,86.51,61.38,67.59,AIML,Fail
S1197,7.92,77.28,69.29,81.68,CSD,Pass
S1198,7.32,81.64,69.74,80.35,CSE,Pass
S1199,7.29,63.37,89.66,87.56,ISE,Pass
S1200,8.37,100.0,64.57,90.88,ISE,Pass
S1201,5.55,79.68,70.19,82.3,CSD,Pass
S1202,7.0,79.42,75.12,79.8,ISE,Pass
S1203,4.82,87.43,68.8,76.26,CSE,Pass
S1204,6.21,84.25,59.3,73.54,CSD,Pass
S1205,5.21,80.91,68.91,85.42,CSE,Pass
S1206,5.71,67.72,82.1,70.07,CSD,Fail
S1207,6.81,84.13,50.6,79.84,CSD,Pass
S1208,3.7,100.0,67.99,76.67,AIML,Pass
S1209,10.1,95.49,55.5,98.44,CSE,Pass
S1210,3.29,98.71,83.93,73.99,ISE,Pass
S1211,2.83,71.35,43.15,55.71,ISE,Fail
S1212,8.05,65.14,57.62,79.94,CSE,Pass
S1213,7.24,76.36,71.66,81.82,ISE,Pass
S1214,6.87,78.72,89.48,90.4,ISE,Pass
S1215,6.88,92.22,65.01,95.07,CSE,Pass
S1216,5.47,56.0,57.67,63.55,CSD,Fail
S1217,3.53,97.88,94.22,71.11,CSE,Fail
S1218,5.67,75.95,44.28,69.38,CSD,Fail
S1219,4.01,72.45,33.02,72.29,ISE,Fail
S1220,7.65,64.84,72.6,77.24,ISE,Pass
S1221,5.18,56.49,58.47,73.63,ISE,Pass
S1222,3.68,88.7,50.68,74.83,AIML,Pass
S1223,4.79,78.95,76.63,71.31,CSD,Fail
S1224,6.41,61.23,69.66,77.24,AIML,Pass
S1225,4.26,61.16,57.54,70.82,AIML,Fail
S1226,3.69,73.63,46.8,59.51,CSE,Fail
S1227,6.04,99.7,79.09,84.67,AIML,Pass
S1228,6.04,74.63,75.75,75.02,CSE,Pass
S1229,4.38,58.46,64.51,58.88,CSE,Fail
S1230,4.46,74.81,93.7,72.05,AIML,Fail
S1231,6.01,74.45,49.95,65.96,CSD,Fail
S1232,2.31,42.94,43.12,46.38,CSD,Fail
S1233,2.4,77.29,55.62,55.11,CSD,Fail
S1234,3.92,75.0,65.32,68.0,CSD,Fail
S1235,5.03,87.05,69.65,68.04,CSD,Fail
S1236,6.18,100.0,62.38,84.33,AIML,Pass
S1237,8.75,92.65,71.28,97.54,AIML,Pass
S1238,7.39,74.5,47.23,67.32,ISE,Fail
S1239,5.15,63.62,87.66,75.6,CSD,Pass
S1240,5.46,100.0,64.77,86.32,AIML,Pass
S1241,3.29,78.77,82.76,63.03,ISE,Fail
S1242,5.46,78.18,71.14,83.84,CSD,Pass
S1243,4.86,77.69,72.85,75.29,CSE,Pass
S1244,6.21,80.58,74.55,76.52,ISE,Pass
S1245,3.68,76.12,72.72,67.49,AIML,Fail
S1246,6.64,70.54,75.64,82.07,CSE,Pass
S1247,8.87,70.89,85.94,91.39,CSE,Pass
S1248,5.26,77.57,68.95,76.67,CSE,Pass
S1249,6.38,70.94,76.64,73.92,ISE,Pass
S1250,7.02,68.73,64.65,78.8,AIML,Pass
S1251,4.62,79.38,87.6,68.83,CSE,Fail
S1252,5.99,74.69,55.85,72.8,CSD,Fail
S1253,5.53,97.55,93.01,81.48,CSE,Pass
S1254,5.71,43.54,65.4,61.88,CSE,Fail
S1255,3.8,92.19,44.54,72.75,ISE,Fail
S1256,5.55,94.2,67.92,85.08,ISE,Pass
S1257,6.6,51.05,55.78,72.33,AIML,Fail
S1258,8.69,73.55,78.61,83.92,CSD,Pass
S1259,7.61,73.17,56.21,78.23,ISE,Pass
S1260,10.24,59.7,59.31,93.84,CSE,Pass
S1261,3.81,67.89,37.66,59.0,AIML,Fail
S1262,7.42,63.56,59.22,88.59,CSE,Pass
S1263,5.9,100.0,29.64,76.27,CSE,Pass
S1264,10.32,90.16,42.24,93.84,ISE,Pass
S1265,3.72,94.53,77.41,72.58,AIML,Fail
S1266,3.65,87.38,77.79,72.58,CSD,Fail
S1267,4.18,63.32,72.38,65.45,CSD,Fail
S1268,0.83,71.18,51.5,53.29,ISE,Fail
S1269,4.34,84.36,65.28,75.99,ISE,Pass
S1270,3.83,62.11,65.95,59.06,AIML,Fail
S1271,5.83,87.27,48.62,67.96,CSD,Fail
S1272,6.25,74.88,88.55,72.52,CSD,Fail
S1273,9.63,73.13,79.16,95.88,CSD,Pass
S1274,7.59,87.24,62.69,79.58,CSE,Pass
S1275,4.23,83.78,66.4,60.07,CSD,Fail
S1276,3.52,73.31,69.13,67.46,CSE,Fail
S1277,6.58,93.07,35.37,88.94,AIML,Pass
S1278,2.6,63.95,62.29,57.5,CSE,Fail
S1279,9.53,86.01,55.77,95.57,AIML,Pass
S1280,8.09,85.71,50.98,84.6,CSD,Pass
S1281,4.47,73.98,61.78,67.59,CSD,Fail
S1282,1.73,82.24,92.97,70.34,AIML,Fail
S1283,8.48,61.74,75.61,83.09,ISE,Pass
S1284,5.25,90.01,57.43,76.22,AIML,Pass
S1285,8.22,75.6,74.59,88.71,ISE,Pass
S1286,1.99,71.2,86.99,59.09,CSE,Fail
S1287,4.18,91.64,79.87,80.75,CSE,Pass
S1288,5.51,68.84,66.89,71.26,CSE,Fail
S1289,5.6,59.69,56.3,63.84,CSD,Fail
S1290,4.51,57.76,76.47,69.62,CSE,Fail
S1291,6.87,85.88,71.9,79.23,ISE,Pass
S1292,3.15,61.35,79.43,63.02,CSE,Fail
S1293,5.19,100.0,75.53,81.37,AIML,Pass
S1294,5.76,50.93,81.74,76.86,AIML,Pass
S1295,6.63,100.0,57.97,85.97,CSD,Pass
S1296,7.07,80.74,85.76,86.04,AIML,Pass
S1297,3.03,76.74,68.96,68.47,ISE,Fail
S1298,2.12,70.92,97.13,72.08,CSE,Fail
S1299,8.31,83.19,55.66,88.23,CSD,Pass
